City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Clyde River,CA,-7.37,snow,70.4692,-68.5914,Qamaq Hotel
1,Majenang,ID,76.91,overcast clouds,-7.2975,108.7642,Strum Aki Majenang
2,Bengkulu,ID,75.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
3,Bethel,US,23.56,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
4,Valley,US,24.6,few clouds,45.1277,-116.1262,Ungoofaaru Inn
5,Bud,US,20.86,clear sky,39.447,-86.1758,Ted McQuinn Trust
6,Vaini,TO,87.96,few clouds,-21.2,-175.2,Keleti Beach Resort
7,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
8,Samarai,PG,84.96,overcast clouds,-10.6167,150.6667,Nuli Sapi
9,Ponta Do Sol,PT,60.71,broken clouds,32.6667,-17.1,Hotel do Campo
10,Ushuaia,AR,51.46,broken clouds,-54.8,-68.3,Albatross Hotel
11,Bintulu,MY,75.61,light rain,3.1667,113.0333,900 Boutique INN
12,Verkhnyaya Inta,RU,6.82,overcast clouds,65.9811,60.3094,Ungoofaaru Inn
13,Harwich,GB,42.57,broken clouds,51.9419,1.2844,Premier Inn Harwich hotel
14,Jamestown,US,12.72,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
15,Yellowknife,CA,4.41,light snow,62.456,-114.3525,The Explorer Hotel
16,Ha Tinh,VN,68.61,scattered clouds,18.3333,105.9,Phú Quý
17,Albany,US,15.75,few clouds,42.6001,-73.9662,Ungoofaaru Inn
18,Sur,OM,66.6,clear sky,22.5667,59.5289,Sur Plaza Hotel
19,Souillac,MU,71.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
20,Krasnoselkup,RU,-4.04,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
21,Tubuala,PA,84.31,overcast clouds,9.5167,-79.0333,Río Nabagana
22,Mataura,NZ,57.47,broken clouds,-46.1927,168.8643,Ellie's Villa
23,Port Elizabeth,ZA,68.09,light intensity drizzle,-33.918,25.5701,39 On Nile Guest House
24,Katsuura,JP,46.51,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
25,Tasiilaq,GL,17.76,overcast clouds,65.6145,-37.6368,The Red House
26,Sioux Lookout,CA,17.98,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
27,Mahebourg,MU,68.29,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
28,Acari,PE,73.08,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
29,Salinas,US,70.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
30,Bosobolo,CD,74.97,overcast clouds,4.1833,19.9,Ungoofaaru Inn
31,Punta Arenas,CL,53.71,scattered clouds,-53.15,-70.9167,Hotel Hain
32,East London,ZA,73.78,broken clouds,-33.0153,27.9116,Tu Casa
33,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
34,Skegness,GB,45.97,overcast clouds,53.1436,0.3363,The Royal Hotel
35,New Norfolk,AU,72.66,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
36,Vanimo,PG,81.63,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
37,Lavrentiya,RU,-18.49,scattered clouds,65.5833,-171.0,Ungoofaaru Inn
38,Busselton,AU,66.04,clear sky,-33.65,115.3333,Observatory Guest House
39,Puerto Ayora,EC,74.26,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
40,Port Alfred,ZA,72.64,overcast clouds,-33.5906,26.891,The Halyards Hotel
41,Laerdalsoyri,NO,37.94,light rain,61.098,7.4816,Laerdal Holiday and Leisure Park
