City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Clyde River,CA,70.4692,-68.5914,-7.37,84,100,28.77,snow
1,Majenang,ID,-7.2975,108.7642,76.91,93,100,0.74,overcast clouds
2,Bengkulu,ID,-3.8004,102.2655,75.76,90,100,3.94,overcast clouds
3,Bethel,US,41.3712,-73.414,23.56,51,0,9.22,clear sky
4,Valley,US,45.1277,-116.1262,24.6,74,17,1.36,few clouds
5,Bud,US,39.447,-86.1758,20.86,56,0,2.3,clear sky
6,Vaini,TO,-21.2,-175.2,87.96,74,20,6.91,few clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,0,13.8,clear sky
8,Samarai,PG,-10.6167,150.6667,84.96,71,100,4.25,overcast clouds
9,Ponta Do Sol,PT,32.6667,-17.1,60.71,67,79,6.89,broken clouds
10,Ushuaia,AR,-54.8,-68.3,51.46,71,75,32.21,broken clouds
11,Bintulu,MY,3.1667,113.0333,75.61,94,40,0.0,light rain
12,Verkhnyaya Inta,RU,65.9811,60.3094,6.82,95,100,5.23,overcast clouds
13,Harwich,GB,51.9419,1.2844,42.57,82,56,10.0,broken clouds
14,Jamestown,US,42.097,-79.2353,12.72,72,100,6.91,overcast clouds
15,Yellowknife,CA,62.456,-114.3525,4.41,89,75,0.0,light snow
16,Ha Tinh,VN,18.3333,105.9,68.61,94,43,2.08,scattered clouds
17,Albany,US,42.6001,-73.9662,15.75,54,12,8.99,few clouds
18,Sur,OM,22.5667,59.5289,66.6,52,5,2.75,clear sky
19,Souillac,MU,-20.5167,57.5167,71.37,83,20,3.44,light rain
20,Krasnoselkup,RU,65.7,82.4667,-4.04,96,100,17.54,overcast clouds
21,Tubuala,PA,9.5167,-79.0333,84.31,82,98,13.11,overcast clouds
22,Mataura,NZ,-46.1927,168.8643,57.47,46,60,8.01,broken clouds
23,Port Elizabeth,ZA,-33.918,25.5701,68.09,94,100,9.22,light intensity drizzle
24,Katsuura,JP,35.1333,140.3,46.51,63,79,13.35,broken clouds
25,Tasiilaq,GL,65.6145,-37.6368,17.76,79,100,6.17,overcast clouds
26,Sioux Lookout,CA,50.1001,-91.917,17.98,86,100,10.36,overcast clouds
27,Mahebourg,MU,-20.4081,57.7,68.29,83,20,3.44,few clouds
28,Acari,PE,-15.4311,-74.6158,73.08,76,28,5.64,scattered clouds
29,Salinas,US,36.6777,-121.6555,70.0,51,0,9.22,clear sky
30,Bosobolo,CD,4.1833,19.9,74.97,31,100,0.74,overcast clouds
31,Punta Arenas,CL,-53.15,-70.9167,53.71,71,40,27.63,scattered clouds
32,East London,ZA,-33.0153,27.9116,73.78,91,75,3.29,broken clouds
33,Avarua,CK,-21.2078,-159.775,82.45,89,75,13.8,broken clouds
34,Skegness,GB,53.1436,0.3363,45.97,86,88,20.87,overcast clouds
35,New Norfolk,AU,-42.7826,147.0587,72.66,52,100,3.0,moderate rain
36,Vanimo,PG,-2.6741,141.3028,81.63,83,100,0.76,light rain
37,Lavrentiya,RU,65.5833,-171.0,-18.49,89,29,5.68,scattered clouds
38,Busselton,AU,-33.65,115.3333,66.04,63,3,13.89,clear sky
39,Puerto Ayora,EC,-0.7393,-90.3518,74.26,86,78,8.79,broken clouds
40,Port Alfred,ZA,-33.5906,26.891,72.64,92,95,3.33,overcast clouds
41,Laerdalsoyri,NO,61.098,7.4816,37.94,97,99,5.84,light rain
42,Rikitea,PF,-23.1203,-134.9692,78.44,77,9,17.16,clear sky
43,Atar,MR,20.5169,-13.0499,65.17,45,1,8.7,clear sky
44,Jingdezhen,CN,29.2947,117.2079,44.15,96,100,3.85,overcast clouds
45,Castro,BR,-24.7911,-50.0119,69.8,85,84,1.57,broken clouds
46,Watertown,US,42.3709,-71.1828,21.85,40,0,1.99,clear sky
47,Svetlyy,RU,54.675,20.1347,41.05,90,99,17.11,overcast clouds
48,Axim,GH,4.8699,-2.2405,79.05,87,0,5.37,clear sky
49,Kissidougou,GN,9.1848,-10.0999,70.25,21,25,2.48,scattered clouds
50,Lagoa,PT,39.05,-27.9833,58.64,79,8,12.28,clear sky
51,Dikson,RU,73.5069,80.5464,13.26,93,100,27.81,light snow
52,Bad Nauheim,DE,50.3646,8.7386,36.68,84,95,1.01,overcast clouds
53,Gazojak,TM,41.1875,61.4036,31.3,72,0,11.07,clear sky
54,Upernavik,GL,72.7868,-56.1549,9.72,88,93,26.96,light snow
55,Yeppoon,AU,-23.1333,150.7333,83.98,66,93,13.42,overcast clouds
56,Qaanaaq,GL,77.484,-69.3632,-8.48,61,74,8.14,broken clouds
57,Atuona,PF,-9.8,-139.0333,78.94,78,12,17.78,few clouds
58,Sirjan,IR,29.452,55.6814,45.77,53,0,7.16,clear sky
59,Butaritari,KI,3.0707,172.7902,81.93,78,52,13.09,broken clouds
60,Bluff,NZ,-46.6,168.3333,57.79,56,85,10.07,overcast clouds
61,Nhamunda,BR,-2.1861,-56.7131,74.97,95,100,1.66,overcast clouds
62,Puerto Ayacucho,VE,5.6639,-67.6236,89.38,47,100,1.01,overcast clouds
63,San Cristobal,VE,7.7669,-72.225,75.38,82,100,1.74,overcast clouds
64,Mount Gambier,AU,-37.8333,140.7667,80.51,65,11,11.5,few clouds
65,Lebu,CL,-37.6167,-73.65,60.8,82,0,10.25,clear sky
66,Saint-Andre-Les-Vergers,FR,48.2853,4.0521,32.07,93,90,3.44,mist
67,Port Hardy,CA,50.6996,-127.4199,41.76,87,75,6.91,broken clouds
68,Hobart,AU,-42.8794,147.3294,73.02,61,75,5.01,broken clouds
69,Bredasdorp,ZA,-34.5322,20.0403,64.27,88,91,2.3,overcast clouds
70,Kenai,US,60.5544,-151.2583,24.15,80,1,8.05,clear sky
71,Aklavik,CA,68.2191,-135.0107,0.43,71,100,10.36,overcast clouds
72,Cassilandia,BR,-19.1133,-51.7342,76.32,73,85,3.27,overcast clouds
73,Cape Town,ZA,-33.9258,18.4232,68.41,78,0,1.01,clear sky
74,Asau,RO,46.4333,26.4,29.32,86,98,6.51,overcast clouds
